Player,AVG,GP-GS,AB,Runs,Hits,2B,3B,HR,RBI,TB,SLGP,BB,HBP,SO,GDP,OBP,SF,SH,SB-ATT
"O. See, OUA ",.171 ,20-13 ,35 ,6 ,6 ,0 ,0 ,0 ,2 ,6 ,.171 ,1 ,0 ,7 ,0 ,.194 ,0 ,1 ,2-3 
"K. Burrow, OUA ",.169 ,25-20 ,59 ,4 ,10 ,5 ,1 ,0 ,10 ,17 ,.288 ,3 ,1 ,17 ,1 ,.222 ,0 ,1 ,0-0 
"K. Wilkie, OUA ",.167 ,36-32 ,78 ,6 ,13 ,2 ,0 ,0 ,7 ,15 ,.192 ,4 ,2 ,13 ,0 ,.226 ,0 ,0 ,0-0 
"Mag.Huddlest, OUA ",.167 ,19-11 ,36 ,5 ,6 ,3 ,0 ,1 ,3 ,12 ,.333 ,2 ,0 ,9 ,0 ,.205 ,1 ,0 ,2-3 
"K. Kauffman, HSU ",.167 ,10-3 ,12 ,2 ,2 ,1 ,0 ,0 ,3 ,3 ,.250 ,2 ,1 ,7 ,0 ,.333 ,0 ,0 ,0-0 
"M. Baldwin, SAU ",.163 ,20-16 ,43 ,5 ,7 ,2 ,0 ,0 ,4 ,9 ,.209 ,8 ,1 ,19 ,1 ,.302 ,1 ,0 ,0-0 
"Flemming, Brooklyn, ECU ",.158 ,23-13 ,38 ,6 ,6 ,1 ,0 ,1 ,3 ,10 ,.263 ,6 ,0 ,6 ,0 ,.267 ,1 ,1 ,0-0 
"Ford, OKB ",.154 ,15-4 ,13 ,4 ,2 ,0 ,0 ,0 ,0 ,2 ,.154 ,3 ,0 ,3 ,0 ,.313 ,0 ,0 ,3-4 
"K. Morgan, SOSU ",.152 ,21-9 ,33 ,3 ,5 ,0 ,0 ,0 ,3 ,5 ,.152 ,3 ,0 ,10 ,0 ,.222 ,0 ,0 ,0-0 
"E. Cecil, UAM ",.147 ,21-10 ,34 ,2 ,5 ,0 ,0 ,1 ,3 ,8 ,.235 ,1 ,0 ,8 ,0 ,.171 ,0 ,1 ,2-3 
"M. Gardiner, UAM ",.145 ,26-23 ,62 ,1 ,9 ,1 ,0 ,0 ,9 ,10 ,.161 ,3 ,1 ,20 ,2 ,.197 ,0 ,1 ,0-0 
"K. Pierce, HU ",.143 ,18-2 ,14 ,2 ,2 ,0 ,0 ,0 ,4 ,2 ,.143 ,2 ,1 ,3 ,0 ,.278 ,1 ,0 ,1-1 
"K. Johnston, HSU ",.143 ,30-2 ,14 ,6 ,2 ,1 ,0 ,1 ,2 ,6 ,.429 ,0 ,0 ,8 ,0 ,.143 ,0 ,0 ,2-3 
"Morrow, OKB ",.133 ,41-30 ,75 ,6 ,10 ,3 ,0 ,0 ,12 ,13 ,.173 ,11 ,4 ,17 ,3 ,.275 ,1 ,2 ,2-2 
"H. Johnson, OUA ",.130 ,17-16 ,23 ,6 ,3 ,1 ,0 ,1 ,3 ,7 ,.304 ,5 ,0 ,13 ,0 ,.286 ,0 ,2 ,2-2 
"E. Zaboronek, HU ",.125 ,13-0 ,8 ,2 ,1 ,1 ,0 ,0 ,0 ,2 ,.250 ,1 ,0 ,2 ,0 ,.222 ,0 ,0 ,2-2 
"Cora Skaggs, ATU ",.125 ,38-1 ,8 ,11 ,1 ,0 ,0 ,0 ,1 ,1 ,.125 ,1 ,0 ,3 ,0 ,.222 ,0 ,1 ,2-2 
"E. McCorkle, OUA ",.111 ,31-18 ,27 ,7 ,3 ,1 ,0 ,0 ,1 ,4 ,.148 ,2 ,0 ,9 ,0 ,.172 ,0 ,1 ,2-2 
"B. Groom, UAM ",.111 ,12-2 ,18 ,1 ,2 ,0 ,0 ,1 ,1 ,5 ,.278 ,0 ,0 ,8 ,0 ,.111 ,0 ,0 ,0-0 
"C. Jones, SWOSU ",.105 ,25-16 ,38 ,2 ,4 ,1 ,0 ,0 ,3 ,5 ,.132 ,5 ,0 ,9 ,0 ,.205 ,1 ,1 ,1-1 
"Bradi Basler, ATU ",.100 ,5-4 ,10 ,0 ,1 ,0 ,0 ,0 ,2 ,1 ,.100 ,3 ,0 ,5 ,0 ,.308 ,0 ,0 ,0-0 
"Duncan, Cara, ECU ",.095 ,15-3 ,21 ,0 ,2 ,0 ,0 ,0 ,1 ,2 ,.095 ,0 ,0 ,7 ,0 ,.095 ,0 ,0 ,0-0 
"H. Morales, SNU ",.091 ,7-3 ,11 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,.091 ,1 ,1 ,5 ,0 ,.231 ,0 ,0 ,0-0 
